ds,prediction,prediction_lower,prediction_upper,country
2019-02-15,0.0,0.0,6566.0844439428965,Lithuania
2019-02-16,0.014368297063575909,0.0,58.49302218636658,Lithuania
2019-02-17,0.007713641443268718,0.0,36.01109002486,Lithuania
2019-02-18,0.0,0.0,487.78676719142567,Lithuania
2019-02-19,0.0,0.0,349.8253831335058,Lithuania
2019-02-20,0.0,0.0,236.48208075888417,Lithuania
2019-02-21,0.0,0.0,106.91867907319815,Lithuania
2019-02-22,0.0,0.0,8236.37454784091,Lithuania
2019-02-23,0.0391286482537872,0.0,186.05427943446597,Lithuania
2019-02-24,0.06867347579934183,0.0,330.1490761909581,Lithuania
2019-02-25,0.0,0.0,125.18041564643599,Lithuania
2019-02-26,0.04408792252712705,0.0,217.1093037552062,Lithuania
2019-02-27,0.10105949027179446,0.0,513.0842548234044,Lithuania
2019-02-28,0.1576563212255634,0.0,812.8894226006103,Lithuania
2019-03-01,0.0,0.0,9219.066374721076,Lithuania
2019-03-02,0.25774175418802175,0.0,1394.5086898490958,Lithuania
2019-03-03,0.2984104788302755,0.0,1634.4312257648585,Lithuania
2019-03-04,0.20410867172618155,0.0,1152.162246920461,Lithuania
2019-03-05,0.2748074334767476,0.0,1596.6559172711702,Lithuania
2019-03-06,0.32740866018419623,0.0,1927.4367301440955,Lithuania
2019-03-07,0.37428201420256335,0.0,2250.809779367218,Lithuania
2019-03-08,0.0,0.0,9346.037765585148,Lithuania
2019-03-09,0.4399910715275268,0.0,2716.296549098499,Lithuania
2019-03-10,0.4570411083508451,0.0,2854.19353251733,Lithuania
2019-03-11,0.3294915582337231,0.0,2097.6114487780073,Lithuania
2019-03-12,0.37282513088194574,0.0,2407.0365353385205,Lithuania
2019-03-13,0.39580123301979186,0.0,2590.9485838873484,Lithuania
2019-03-14,0.41228375318638194,0.0,2730.0027168218535,Lithuania
2019-03-15,0.0,0.0,10959.355262944708,Lithuania
2019-03-16,0.4179442394239279,0.0,2843.8802241076746,Lithuania
2019-03-17,0.406950912243078,0.0,2782.946210538716,Lithuania
2019-03-18,0.24746114325282698,0.0,1715.2724741363302,Lithuania
